Date,Open,High,Low,Close,Adj Close,Volume
2019-10-25,7500.0,8600.0,7457.5,8311.5,8311.5,1723.153593
2019-10-26,8311.5,10632.5,8311.0,9228.0,9228.0,4464.085541
2019-10-27,9228.0,9636.5,8900.0,9547.0,9547.0,7392.464655
2019-10-28,9547.0,9943.5,9300.0,9407.5,9407.5,6060.456921
2019-10-29,9407.0,9539.5,9202.0,9365.0,9365.0,6388.174419
2019-10-30,9365.0,9506.5,9007.0,9107.5,9107.5,5856.133072
2019-10-31,9107.5,9427.0,8980.0,9241.5,9241.5,5621.177120
2019-11-01,9241.5,9291.0,9057.0,9107.0,9107.0,6340.071625
2019-11-02,9107.0,9388.0,9081.0,9336.0,9336.0,4970.272588
2019-11-03,9336.0,9380.0,9120.0,9202.0,9202.0,4836.756203
2019-11-04,9202.0,9338.0,9100.0,9305.5,9305.5,5751.956782
2019-11-05,9305.5,9605.5,9200.0,9378.0,9378.0,8266.972135
2019-11-06,9378.0,9459.5,9268.5,9358.0,9358.0,5878.719875
2019-11-07,9358.0,9384.0,9152.0,9194.5,9194.5,6986.235635
2019-11-08,9195.0,9259.5,8650.0,8797.0,8797.0,8658.478214
2019-11-09,8797.0,8888.0,8718.0,8805.5,8805.5,5882.965903
2019-11-10,8805.0,8881.0,8736.0,8812.0,8812.0,5927.398744
2019-11-11,8812.5,9115.0,8600.0,8713.5,8713.5,6107.692552
2019-11-12,8714.0,8887.5,8555.5,8687.0,8687.0,8008.942409
2019-11-13,8687.5,8840.0,8676.0,8742.0,8742.0,5761.930899
2019-11-14,8742.5,8796.0,8566.5,8628.5,8628.5,4055.974417
2019-11-15,8628.0,8777.0,8379.5,8471.0,8471.0,5945.354882
2019-11-16,8470.5,8543.5,8422.5,8491.0,8491.0,5309.568657
2019-11-17,8491.0,8590.0,8376.0,8531.5,8531.5,4146.752729
2019-11-18,8531.5,8629.5,8359.5,8406.0,8406.0,6191.205184
2019-11-19,8406.0,8428.5,7992.0,8096.5,8096.5,6720.324165
2019-11-20,8096.0,8154.5,8038.5,8124.0,8124.0,5880.189600
2019-11-21,8124.0,8227.0,7359.0,7600.5,7600.5,9568.740623
2019-11-22,7600.5,7754.0,6772.0,7118.5,7118.5,19097.575176
2019-11-23,7119.5,7380.5,7097.0,7300.0,7300.0,7203.660857
2019-11-24,7299.0,7350.0,6972.5,6994.0,6994.0,7242.642985
2019-11-25,6992.5,7280.0,6520.0,7247.0,7247.0,12186.081442
2019-11-26,7248.0,7378.5,7020.5,7093.5,7093.5,6593.934160
2019-11-27,7093.0,7373.0,6845.5,7309.0,7309.0,6859.427495
2019-11-28,7309.0,7670.0,7220.0,7610.0,7610.0,6542.843801
2019-11-29,7609.5,7814.0,7369.5,7810.5,7810.5,6775.925384
2019-11-30,7813.0,7860.0,7522.5,7546.5,7546.5,6086.579384
2019-12-01,7546.0,7610.0,7235.5,7306.5,7306.5,6393.656417
2019-12-02,7306.0,7438.0,7155.5,7309.0,7309.0,6500.244081
2019-12-03,7309.0,7408.5,7239.0,7337.5,7337.5,5745.021381
2019-12-04,7337.5,7827.0,7083.0,7470.5,7470.5,7389.402176
2019-12-05,7470.5,7504.5,7087.0,7337.5,7337.5,6428.818282
2019-12-06,7337.5,7456.0,7267.0,7375.0,7375.0,5716.231695
2019-12-07,7375.0,7635.0,7374.5,7519.0,7519.0,5243.863900
2019-12-08,7519.0,7570.0,7370.0,7554.0,7554.0,5432.835779
2019-12-09,7554.5,7688.0,7390.5,7422.0,7422.0,5611.966668
2019-12-10,7422.0,7446.5,7216.5,7238.0,7238.0,3444.263129
2019-12-11,7238.0,7282.0,7128.0,7169.5,7169.5,2984.974992
2019-12-12,7169.5,7285.0,7074.5,7138.0,7138.0,3964.130247
